License/Exemption Number,Facility/Camp Name,Facility/Camp License Type,Facility Address,City,County,Phone,Zip Code,Capacity
AS500380733,Sula,ADULT SMALL GROUP HOME (CAPACITY 1-6),"53080 Sula ",Shelby Township,MACOMB,(586) 786-5524,48315,5
AS280070542,Summerfield AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1265 Harvest West ",Traverse City,GRAND TRAVERSE,(231) 943-9590,49684,6
AS700066637,Summerside,ADULT SMALL GROUP HOME (CAPACITY 1-6),"386 Felch Street ",Holland,OTTAWA,(616) 399-1134,49424,6
AS110010325,Summit Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"444 Summit St ",Watervliet,BERRIEN,(269) 463-3096,49098,6
AM300083877,Summit House,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"425 Summit St. ",Hillsdale,HILLSDALE,(517) 437-0679,49242,9
AH380236900,Summit Park Assisted Living Center,HOMES FOR THE AGED,"2100 Park Rd. ",Jackson,JACKSON,(517) 782-8888,49203,83
AL820413669,Sumpter Senior Living,ADULT LARGE GROUP HOME (CAPACITY 13-20),"23560 Sumpter Rd ",Belleville,WAYNE,(734) 231-6315,48111,14
AS500418836,Sun Haven Housing,ADULT SMALL GROUP HOME (CAPACITY 1-6),"25262 Eureka Dr. ",Warren,MACOMB,(586) 381-7651,48091,4
AL520007247,Sundara West Nphc,ADULT LARGE GROUP HOME (CAPACITY 13-20),"401 Lincoln Avenue ",Marquette,MARQUETTE,(906) 228-0848,49855-3928,16
AS820379150,Sunderland AFC Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"17127 Sunderland Road ",Detroit,WAYNE,(313) 694-3829,48219,6
AS820401437,Sunderland House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20520 Sunderland ",Detroit,WAYNE,(313) 740-7335,48219,4
AS630397225,Sunningdale Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6488 Sunningdale Drive ",Bloomfield Hills,OAKLAND,(248) 855-5137,48301,6
AM800016279,Sunny Acres,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"43106 76th Avenue ",Decatur,VAN BUREN,(269) 423-7525,49045,12
AS640418185,Sunny Knoll North,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6699 A North Oceana Dr. ",Hart,OCEANA,(231) 301-2414,49420,6
AS640418664,Sunny Knoll South,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6699 B North Oceana Dr ",Hart,OCEANA,(231) 304-2414,49420,6
AF210392184,Sunny Shores AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"1615 Lake Shore Drive ",Gladstone,DELTA,(906) 428-2943,49837,6
AS130418440,Sunny Side Senior Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20125 E Michigan Ave ",Marshall,CALHOUN,(269) 248-6004,49068,6
AF210277469,Sunny View AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"7754 Co 416J Road ",Gladstone,DELTA,(906) 786-2666,49837,6
AS500417003,Sunnypoint Well Living,ADULT SMALL GROUP HOME (CAPACITY 1-6),"43627 Sunnypoint Dr. ",Sterling Heights,MACOMB,(586) 321-9555,48313,6
AM730340435,Sunnyside Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"3025 Birch Run Road ",Burt,SAGINAW,(989) 770-4760,48417,8
AL830309607,Sunnyside Senior Living,ADULT LARGE GROUP HOME (CAPACITY 13-20),"108 Wildwood Drive ",Cadillac,WEXFORD,(231) 775-7750,49601,20
AS570417807,Sunrise AFC Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"631 S. Vander Meulen Rd. ",Lake City,MISSAUKEE,(231) 839-0090,49651,6
AH630391696,Sunrise Assisted Living Of Bloomfield Hills,HOMES FOR THE AGED,"6790 Telegraph Rd. ",Bloomfield Hills,OAKLAND,(248) 858-7200,48301,132
AH820400126,Sunrise Assisted Living of Northville,HOMES FOR THE AGED,"16100 North Haggerty Road ",Plymouth,WAYNE,(734) 420-4000,48170,118
AH500281087,Sunrise Assisted Living of Shelby Twp.,HOMES FOR THE AGED,"46471 Hayes Rd. ",Shelby Twp.,MACOMB,(586) 532-9559,48315,106
AH630399616,Sunrise Assisted Living of Troy,HOMES FOR THE AGED,"6870 Crooks Rd ",Troy,OAKLAND,(248) 293-1200,48098,80
AS460306622,Sunrise Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"530 Sunrise Dr. ",Hudson,LENAWEE,(517) 448-3007,49247,6
AH410322787,Sunrise of Cascade,HOMES FOR THE AGED,"3041 Charlevoix Drive, SE ",Grand Rapids,KENT,(616) 942-7200,49546,125
AH820391697,Sunrise of Grosse Pointe Woods,HOMES FOR THE AGED,"21260 Mack Avenue ",Grosse Pointe Woods,WAYNE,(313) 343-0600,48236,78
AH630391473,Sunrise Of West Bloomfield,HOMES FOR THE AGED,"7005 Pontiac Trail ",West Bloomfield,OAKLAND,(248) 738-8101,48323,70
AH820391698,Sunrise on Vernier,HOMES FOR THE AGED,"1850 Vernier Road ",Grosse Pointe Woods,WAYNE,(313) 642-2000,48236,54
AS630277724,Sunset Assisted Living,ADULT SMALL GROUP HOME (CAPACITY 1-6),"28293 W. Sunset Blvd. ",Lathrup Village,OAKLAND,(248) 443-5199,48076,5
AM030007687,Sunset House,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"3126 Babylon Rd ",Allegan,ALLEGAN,(269) 673-2014,49010,12
AH700236908,Sunset Manor,HOMES FOR THE AGED,"725 Baldwin Street ",Jenison,OTTAWA,(616) 457-2770,49428-7945,187
AM630009304,Sunshine Acres AFC Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"8930 M 15 ",Clarkston,OAKLAND,(248) 625-2533,48348,9
AS230292716,Sunshine AFC Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4041 Rivershell ",Lansing,EATON,(517) 708-8484,48911,6
AS230306306,Sunshine AFC Home II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4106 Bridgeport ",Lansing,EATON,(517) 980-1925,48911,6
AS630379574,Sunshine Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"22318 Berg Road ",Southfield,OAKLAND,(248) 229-2028,48033,6
AF830279137,SunShine Home,ADULT FAMILY HOME (CAPACITY 1-6),"116 Robert ",Manton,WEXFORD,(231) 620-8921,49663,6
AS820347171,Sunshine Homes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"27287 Stanford ",Inkster,WAYNE,(313) 561-3146,48141,6
AS820417126,Sunshine Homes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19060 Huntington Ave ",Harper Woods,WAYNE,(313) 458-8333,48223,6
AS820369343,Sunshine Homes 3 LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"18910 Huntington Ave ",Harper Woods,WAYNE,(248) 229-2028,48225,6
AS110344109,Sunshine House Watervliet,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4556 N. County Line Road ",Watervliet,BERRIEN,(269) 463-4430,49098,5
AF630417070,Sunshine Manor Rochester Hills,ADULT FAMILY HOME (CAPACITY 1-6),"39 Stark Rd ",Rochester Hills,OAKLAND,(248) 703-9495,48307,6
AS130292694,Superior Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"55 Morgan Rd ",Battle Creek,CALHOUN,(269) 270-8305,49017,6
AS520326257,Superior Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"651 West Spring Street ",Marquette,MARQUETTE,(906) 273-1601,49855,6
AS630352375,Sussex Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"22190 Sussex Street ",Oak Park,OAKLAND,(248) 421-2735,48237,6
AM410016238,Swanberg - Countryside AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"6575 Whitneyville Road ",Alto,KENT,(616) 868-6003,49302,12
AM410008670,Swanberg AFC - Springwood,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"1158 Springwood Drive  SE ",Kentwood,KENT,(616) 532-0356,49508-6055,12
AL250072158,Swank Home Assisted Living,ADULT LARGE GROUP HOME (CAPACITY 13-20),"9412 Miller Rd ",Swartz Creek,GENESEE,(810) 635-3183,48473,20
AM820009970,"Swanson's AFC Home, Inc.",ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"211 Cortland ",Highland Park,WAYNE,(313) 865-3205,48203,12
AF430416344,Sweetwater Creek AFC,ADULT FAMILY HOME (CAPACITY 1-6),"758 S Tyndall Rd ",Branch,LAKE,(231) 898-6260,49402,6
AS250010863,Sycamore House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"11170 Linden Rd ",Clio,GENESEE,(810) 564-1699,48420,6
AM110383672,Sylva Villas 2,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"8934 George Avenue ",Berrien Springs,BERRIEN,(269) 473-1729,49103,12
AS820014363,Sylvania Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"37555 Pennsylvania ",New Boston,WAYNE,(734) 753-3521,48164,6
AS820014697,Sylvia Residence,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4515 Sylvia ",Inkster,WAYNE,(313) 274-2383,48141,6
AS810416765,Synod House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1315 S 7th ",Ann Arbor,WASHTENAW,(734) 483-9363,48103,6
AS820297237,Syracuse TLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"31415 Conway Drive ",Westland,WAYNE,(248) 941-1140,48185,6
AM320298210,Talaski Adult Foster Care Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"1943 N. Verona Rd. ",Bad Axe,HURON,(989) 269-8883,48413,12
AS810412125,Talladay Trails,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6312 Talladay ",Milan,WASHTENAW,(734) 439-8398,48160,6
AC630416637,Tamarack Camps - Avodah,ADULT CAMP,,Ortonville,OAKLAND,,48462,48
AS630012777,Tamarack CLF,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6850 Tamarack ",Holly,OAKLAND,(248) 634-0433,48442,4
AM470094319,Tanglewood Assisted Living Inc,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"19086 Tipsico Lake ",Fenton,LIVINGSTON,(810) 750-2833,48430,12
AM350419197,Tawas Manor,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"751 Newman St ",East Tawas,IOSCO,(269) 718-9040,48730,12
AS250397086,Taylor Lodge,ADULT SMALL GROUP HOME (CAPACITY 1-6),"11381 Liberty St. ",Clio,GENESEE,(810) 547-7122,48420,6
AS630282991,Taylors AFC-Brandywynne,ADULT SMALL GROUP HOME (CAPACITY 1-6),"23345 Brandywynne ",Southfield,OAKLAND,(248) 948-5066,48034,5
AF410317511,Taylor's Home Care,ADULT FAMILY HOME (CAPACITY 1-6),"1505 Morewood Dr. SE ",Grand Rapids,KENT,(616) 247-1412,49508,4
AS630370140,"TBI Residential Rehab, LLC",ADULT SMALL GROUP HOME (CAPACITY 1-6),"63 Waltonshire Ct. ",Rochester Hills,OAKLAND,(248) 732-7807,48309,6
AH520364507,"Teal Lake Senior Living Community, Inc",HOMES FOR THE AGED,"290 W. Water Street ",Negaunee,MARQUETTE,(906) 401-0511,49866,46
AL460398056,Tecumseh Place I,ADULT LARGE GROUP HOME (CAPACITY 13-20),"1311 Southwestern Drive ",Tecumseh,LENAWEE,(517) 423-3374,49286,20
AL460398055,Tecumseh Place II,ADULT LARGE GROUP HOME (CAPACITY 13-20),"1309 Southwestern Drive ",Tecumseh,LENAWEE,(517) 424-6043,49286,20
AS630278795,Teggerdine Hills,ADULT SMALL GROUP HOME (CAPACITY 1-6),"284 Teggerdine ",White Lake,OAKLAND,(248) 242-6940,48386,6
AS820294198,Tender Care Homes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"25535 Haskell Street ",Taylor,WAYNE,(734) 673-8801,48180,5
AS030418857,Tender Hearts Homes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4105 60th Street ",Holland,ALLEGAN,(616) 312-5316,49423,6
AF030397565,Tender Hearts Resthaven,ADULT FAMILY HOME (CAPACITY 1-6),"6194 147th Avenue ",Holland,ALLEGAN,(616) 294-1005,49423,6
AS390418687,Tender Living Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2108 East Cork St ",Kalamazoo,KALAMAZOO,(269) 550-6631,49001,6
AS630391415,Tendercare,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2510 Orion Road ",Oakland,OAKLAND,(248) 860-8818,48363,6
AS610402297,Terra Nova,ADULT SMALL GROUP HOME (CAPACITY 1-6),"505 Lakewood Rd. ",Twin Lake,MUSKEGON,(231) 893-5709,49457,4
AM610259339,Terrace Manor,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"1148 Terrace Street ",Muskegon,MUSKEGON,(231) 722-7442,49442-3449,12
AS410356636,Terrace Park Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5901 Terrace Park Dr. NE ",Rockford,KENT,(616) 884-5788,49341,6
AM820383027,Terry AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"1754 VanDyke ",Detroit,WAYNE,(313) 921-3957,48214,8
AS820418543,Te-Sy Residents,ADULT SMALL GROUP HOME (CAPACITY 1-6),"12660 Washburn Street ",Detroit,WAYNE,(313) 398-0791,48238,5
AS410414999,Texas Manor AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1315 Texas St NW ",Walker,KENT,(616) 805-5771,49544,6
AS810412126,Textile Springs,ADULT SMALL GROUP HOME (CAPACITY 1-6),"7736 Textile Rd ",Ypsilanti,WASHTENAW,(734) 480-1682,48197,6
AF790006111,That Touch Of Class,ADULT FAMILY HOME (CAPACITY 1-6),"330 Hamilton St ",Caro,TUSCOLA,(989) 673-5685,48723,6
AL610091430,The Agape Home,ADULT LARGE GROUP HOME (CAPACITY 13-20),"4445 S. Brooks Road ",Muskegon,MUSKEGON,(231) 773-0328,49444-9722,20
AH500236728,The Arbor Inn,HOMES FOR THE AGED,"14030 E Fourteen Mile Rd. ",Warren,MACOMB,(586) 296-3260,48088,129
AH630409730,The Avalon of Bloomfield Township,HOMES FOR THE AGED,"100 W Square Lake Rd ",Bloomfield Twp,OAKLAND,(248) 480-7343,48302,158
AH630409731,The Avalon of Commerce Township,HOMES FOR THE AGED,"2500 Martin Parkway ",Commerce Township,OAKLAND,(248) 329-1327,48390,158
AS630415337,The Barns Senior Living 2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1823 Crooks Rd ",Rochester Hills,OAKLAND,(248) 710-3960,48309,6
AL440397767,"The Bells Assisted Living, LLC",ADULT LARGE GROUP HOME (CAPACITY 13-20),"401 Church St. ",Almont,LAPEER,(810) 798-2355,48003,20
AL240407728,The Birches at Perry Farm Village,ADULT LARGE GROUP HOME (CAPACITY 13-20),"4241 Village Circle Dr. ",Harbor Springs,EMMET,(231) 526-1500,49740,20
AH630399613,The Bradford Senior Living,HOMES FOR THE AGED,"2080 S. Telegraph Rd ",Bloomfield Hills,OAKLAND,(248) 972-0800,48302,114
AL120418792,The Branches,ADULT LARGE GROUP HOME (CAPACITY 13-20),"99 Vista Dr. ",Coldwater,BRANCH,(269) 651-7841,49036,20
AS500418320,The Brittany Residence,ADULT SMALL GROUP HOME (CAPACITY 1-6),"22477 Brittany Ave ",Eastpointe,MACOMB,(586) 536-6440,48021,1
AS630012577,The Burton Ranch,ADULT SMALL GROUP HOME (CAPACITY 1-6),"39413 Burton Drive ",Novi,OAKLAND,(248) 302-1918,48375,6
AS820284331,The Charter Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1793 Charter ",Lincoln Park,WAYNE,(313) 381-5072,48146,6
AS190363648,The Chosen Vision,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1111 Turner Street ",DeWitt,CLINTON,(517) 622-0574,48820,6
AH700397994,The Cortland Holland Meadows,HOMES FOR THE AGED,"445 104th Avenue ",Holland,OTTAWA,(616) 795-9693,49423,56
AL410418268,The Cortland Lodge,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3736 Vista Springs Ave NE ",Grand Rapids,KENT,(616) 364-4690,49525,20
AH410400149,The Cortland Rediscovery,HOMES FOR THE AGED,"3736 Vista Springs Ave. ",Grand Rapids,KENT,(616) 364-4690,49525,56
AH410397993,The Cortland Riverside Gardens,HOMES FOR THE AGED,"2420 Coit Ave. NE ",Grand Rapids,KENT,(616) 365-5564,49505,70
AL410418383,The Cortland Terrace Cove,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3740 Vista Springs Ave NE ",Grand Rapids,KENT,(616) 207-4140,49525,20
AL410418384,The Cortland Terrace Harbor,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3740 Vista Springs Ave NE ",Grand Rapids,KENT,(616) 364-4690,49525,20
AH410397992,The Cortland Wyoming,HOMES FOR THE AGED,"2708 Meyer Ave SW ",Wyoming,KENT,(616) 288-0400,49519,147
AM580397721,The Cottage,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"7340 Jackman Road ",Temperance,MONROE,(734) 847-3217,48182,12
AL250337633,The Cottage of Davison,ADULT LARGE GROUP HOME (CAPACITY 13-20),Suite A 1515 Cal Drive,Davison,GENESEE,(810) 653-7343,48423,20
AS620398378,The Cottages At Martin Lake,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3088 S Van Wagoner Ave ",Fremont,NEWAYGO,(231) 307-4567,49412,6
AS620407147,The Cottages At Martin Lake II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3138 S Van Wagoner Ave ",Fremont,NEWAYGO,(123) 130-7456,49412,6
AL630417057,The Courtyard at Auburn Hills 1,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3033 N. Squirrel Rd. ",Auburn Hills,OAKLAND,(248) 340-9296,48326,20
AL630417058,The Courtyard at Auburn Hills 2,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3033 N. Squirrel Rd. ",Auburn Hills,OAKLAND,(312) 623-0884,48326,20
AL630417059,The Courtyard at Auburn Hills 3,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3033 N. Squirrel Rd. ",Auburn Hills,OAKLAND,(312) 623-0884,48326,20
AL630417060,The Courtyard At Auburn Hills 4,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3033 N. Squirrel Rd. ",Auburn Hills,OAKLAND,(248) 340-9296,48326,20
AH230418409,The Courtyard at Delta,HOMES FOR THE AGED,"350 S. Marketplace Blvd. ",Delta Twp.,EATON,(563) 258-0409,48917,85
AL500416919,The Courtyard At Sterling Heights 3,ADULT LARGE GROUP HOME (CAPACITY 13-20),"13400 19 Mile Road ",Sterling Heights,MACOMB,(586) 254-5719,48313,20
AL500416945,The Courtyard At Sterling Heights 4,ADULT LARGE GROUP HOME (CAPACITY 13-20),"13400 19 Mile Road ",Sterling Heights,MACOMB,(586) 254-5719,48313,20
AH610236808,The Cove at Lake Woods,HOMES FOR THE AGED,"1776 Vulcan Street ",Muskegon,MUSKEGON,(231) 777-2511,49442-6071,80
AF760310324,The Downington Inn,ADULT FAMILY HOME (CAPACITY 1-6),"3190 Downington Rd ",Snover,SANILAC,(810) 404-4413,48472,6
AH700412885,The Farmstead Assisted Living,HOMES FOR THE AGED,"875 E. 24th Street ",Holland,OTTAWA,(616) 796-3500,49423,28
AL460398057,The Fieldstone at Tecumseh,ADULT LARGE GROUP HOME (CAPACITY 13-20),"1313 Southwestern Drive ",Tecumseh,LENAWEE,(517) 423-1141,49286,20
AS370313755,The Fountain of Love,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6133 E. Vernon Road ",Rosebush,ISABELLA,(989) 433-0051,48878,6
AF630418167,The Fox Creek,ADULT FAMILY HOME (CAPACITY 1-6),"21207 Parker St ",Farmington HIlls,OAKLAND,(248) 893-7265,48336,6
AS630418745,The Franklin House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5575 Franklin Rd ",Bloomfield Hills,OAKLAND,(248) 986-4546,48301,6
AH580413165,The Gardens of Carleton Asst Lvg & Mem. Care,HOMES FOR THE AGED,"12400 Matthews Road ",Carleton,MONROE,(586) 909-3989,48117,60
AH810236788,The Gilbert Residence,HOMES FOR THE AGED,"203 S Huron ",Ypsilanti,WASHTENAW,(734) 482-9498,48197,58
AF700263375,The Graysons,ADULT FAMILY HOME (CAPACITY 1-6),"6240 Pinecrest Dr. ",Zeeland,OTTAWA,(616) 875-8219,49464,4
AL300077696,The Haven,ADULT LARGE GROUP HOME (CAPACITY 13-20),"423 Mccallum Road ",Montgomery,HILLSDALE,(517) 296-4455,49255,20
AF410094736,The Haven Of Rest,ADULT FAMILY HOME (CAPACITY 1-6),"11705 Edgerton Road ",Cedar Springs,KENT,(616) 918-6224,49319,6
AH630236793,The Haworth Center,HOMES FOR THE AGED,"30225 13 Mile Road ",Farmington Hills,OAKLAND,(248) 539-3131,48334,59
AS630415090,The Hawthorne Residence,ADULT SMALL GROUP HOME (CAPACITY 1-6),"22430 Hawthorne ",Farmington,OAKLAND,(248) 480-4162,48336,6
AL760408949,The Heartlands (B1),ADULT LARGE GROUP HOME (CAPACITY 13-20),"6305 Bluewater Court ",Marlette,SANILAC,(989) 217-4872,48453,20
AM760408948,The Heartlands (B2),ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"6305 Bluewater Court ",City of Marlette,SANILAC,(989) 217-4872,48453,12
AS630245096,The Helping Hands Place,ADULT SMALL GROUP HOME (CAPACITY 1-6),"38 Park Place ",Pontiac,OAKLAND,(248) 333-2528,48341,6
AH130403563,The Heritage Assisted Living Community,HOMES FOR THE AGED,"14420 S. Helmer Road ",Battle Creek,CALHOUN,(269) 969-4000,49015,78
AS810412114,The Hills,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3985 Hillside ",Ypsilanti,WASHTENAW,(748) 434-8830,48197,6
AF390417954,The Homestead,ADULT FAMILY HOME (CAPACITY 1-6),"6191 N Riverview ",Kalamazoo,KALAMAZOO,(269) 599-4809,49004,6
AL720418018,The Horizon Senior Living,ADULT LARGE GROUP HOME (CAPACITY 13-20),"10059 E. Airport Road ",St. Helen,ROSCOMMON,(989) 389-4900,48656,20
AL180418022,The Horizon Senior Living II,ADULT LARGE GROUP HOME (CAPACITY 13-20),"1324 Vinewood Street ",Clare,CLARE,(989) 386-4900,48617,20
AL650418023,The Horizon Senior Living III,ADULT LARGE GROUP HOME (CAPACITY 13-20),"613 Progress Street ",West Branch,OGEMAW,(989) 343-9404,48661,20
AL060418024,The Horizon Senior Living IV,ADULT LARGE GROUP HOME (CAPACITY 13-20),"218 Airpark Drive ",Standish,ARENAC,(989) 846-0000,48658,20
AL260418027,The Horizon Senior Living V,ADULT LARGE GROUP HOME (CAPACITY 13-20),"450 Quarter Street ",Gladwin,GLADWIN,(989) 246-1000,48624,20
AL260418028,The Horizon Senior Living VI,ADULT LARGE GROUP HOME (CAPACITY 13-20),"452 Quarter STreet ",Gladwin,GLADWIN,(989) 246-1000,48624,20
AF630285293,The House of Hope,ADULT FAMILY HOME (CAPACITY 1-6),"1354 Lamb Dr. ",Troy,OAKLAND,(248) 217-7485,48085,6
AH330386131,The Indigo at Lansing,HOMES FOR THE AGED,"1634 Lake Lansing Road ",Lansing,INGHAM,(517) 507-3303,48912,66
AH700364503,The Inn at Freedom Village,HOMES FOR THE AGED,"145 Columbia Avenue ",Holland,OTTAWA,(616) 820-7679,49423,62
AH380236825,The Jackson Friendly Home,HOMES FOR THE AGED,"435 W North St. ",Jackson,JACKSON,(517) 784-1377,49202,45
AS820289647,The Journey Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"14651 Horger ",Allen Park,WAYNE,(313) 608-1324,48101,6
AH130297466,The Legacy at Battle Creek,HOMES FOR THE AGED,"706 North Avenue ",Battle Creek,CALHOUN,(269) 964-4655,49017-3251,30
AH470395495,The Legacy at Howell,HOMES FOR THE AGED,"1550 Byron Road ",Howell,LIVINGSTON,(517) 552-9323,48855,35
AH500315088,The Legacy at Shelby Crossing,HOMES FOR THE AGED,"13712 21 Mile Road ",Shelby Township,MACOMB,(586) 532-2100,48315,35
AH190336314,The Legacy at The Willows,HOMES FOR THE AGED,Legacy Bldg 3510 Coolidge Rd,East Lansing,CLINTON,(517) 203-4042,48823,35
AH630313360,The Legacy at Westlake,HOMES FOR THE AGED,"10735A Bogie Lake Road ",Commerce,OAKLAND,(248) 363-9400,48382,32
AS390395682,The Lighthouse AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"438 Drexel Place ",Kalamazoo,KALAMAZOO,(269) 529-0428,49007,4
AL470407330,The Lodge,ADULT LARGE GROUP HOME (CAPACITY 13-20),"7260 Challis Rd. ",Brighton,LIVINGSTON,(810) 227-0119,48116,20
AL410095343,The Lodge,ADULT LARGE GROUP HOME (CAPACITY 13-20),"721 N. Center Drive,   NW ",Walker,KENT,(616) 647-2590,49544,16
AS810321336,The Loft of Manchester,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8737 M-52 ",Manchester,WASHTENAW,(734) 428-0369,48158,6
AH810236789,The Manor at Glacier Hills Home for the Aged,HOMES FOR THE AGED,"1200 Earhart ",Ann Arbor,WASHTENAW,(734) 769-6410,48105,116
AM190416597,The Maples of St. Johns,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"2307 W. Maple Rapids Rd ",Saint Johns,CLINTON,(517) 526-3723,48879,12
AS620301609,The Masters Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"240 N. Webster ",White Cloud,NEWAYGO,(231) 689-0022,49349,6
AH780364157,The Meadows,HOMES FOR THE AGED,"245 N. Caledonia Drive ",Owosso,SHIAWASSEE,(989) 720-8823,48867,61
AS630412113,The Meadows,ADULT SMALL GROUP HOME (CAPACITY 1-6),"30048 Highmeadow ",Farmington Hills,OAKLAND,(734) 646-1603,48334,6
AL120418793,The Meadows,ADULT LARGE GROUP HOME (CAPACITY 13-20),"300 Vista Dr. ",Coldwater,BRANCH,(269) 651-7841,49036,20
AH810236843,The Meadows at Silver Maples,HOMES FOR THE AGED,"200 Silver Maples Drive ",Chelsea,WASHTENAW,(734) 475-1490,48118,71
AS750401890,The Meadows Specialized Residential Pgm,ADULT SMALL GROUP HOME (CAPACITY 1-6),"53803 Nottawa Rd ",Mendon,ST. JOSEPH,(269) 496-1033,49072,6
AH630236917,The Mendelson Home,HOMES FOR THE AGED,"2450 Watkins Lake Rd. ",Waterford,OAKLAND,(248) 618-6362,48328,80
AS170382196,The Merlin Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1703 Hyde Street ",Sault Ste. Marie,CHIPPEWA,(906) 259-7373,49783,6
AM230402660,The Mitten Adult Foster Care LLC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"4957 Burt Avenue ",Grand Ledge,EATON,(517) 898-1983,48837,12
AF130294056,The Morris House,ADULT FAMILY HOME (CAPACITY 1-6),"318 Richfield Ave ",Battle Creek,CALHOUN,(269) 965-4645,49037,6
AH630397715,The Neighborhoods of White Lake,HOMES FOR THE AGED,"10770 Elizabeth Lake Rd ",White Lake,OAKLAND,(248) 618-4150,48386,48
AH410400902,The Oaks at Belmont,HOMES FOR THE AGED,"6081 West River Drive ",Belmont,KENT,,49306,41
AH410395463,The Oaks at Byron Center,HOMES FOR THE AGED,"2280 Byron View Dr SW ",Byron Center,KENT,,49315,41
AH700411554,The Oaks at Jamestown,HOMES FOR THE AGED,"3145 Sunchase Ave. ",Hudsonville,OTTAWA,(616) 229-4414,49426,41
AH250314824,The Oaks at Woodfield,HOMES FOR THE AGED,"5370 Baldwin Rd. ",Grand Blanc,GENESEE,(810) 606-9950,48439,38
AH610411693,The Oasis of Norton Shores,HOMES FOR THE AGED,"6025 Harvey Street ",Norton Shores,MUSKEGON,,49444,115
